id,song_num,page_number,catalogue_num
acoma01,1,5,1888
acoma02,2,6,1889
acoma03,3,6,1890
acoma04,4,8,1891
acoma05,5,8,1892
acoma06,6,9,1893
acoma07,7,10,1894
acoma08,8,11,1895
acoma09,9,12,1896
acoma10,10,13,1897
acoma11,11,14,1898
acoma12,12,15,1899
acoma13,13,16,1900
acoma14,14,17,1901
acoma15,15,18,1902
acoma16,16,19,1903
acoma17,17,21,1904
acoma18,18,22,1905
acoma19,19,24,1906
acoma20,20,26,1907
acoma21,21,27,1908
acoma22,22,30,1909
acoma23,23,31,1910
acoma24,24,31,1911
acoma25,25,33,1912
acoma26,26,35,1913
acoma27,27,36,1914
acoma28,28,38,1915
acoma29,29,40,1916
acoma30,30,42,1917
acoma31,31,44,1918
acoma32,32,46,1919
acoma33,33,47,1920
acoma34,34,48,1921
acoma35,35,49,1922
acoma36,36,40,1923
acoma37,37,52,1924
acoma38,38,54,1925
acoma39,39,56,1926
acoma40,40,59,1927
acoma41,41,60,1928
acoma42,42,62,1929
acoma43,43,64,1930
acoma44,44,66,1931
acoma45,45,67,1932
acoma46,46,68,1933
acoma47,47,69,1934
acoma48,48,71,1935
acoma49,49,72,1936
acoma50,50,73,1937
acoma51,51,74,1938
acoma52,52,75,1939
acoma53,53,76,1940
acoma54,54,77,1941
acoma55,55,78,1942
acoma56,56,79,1943
acoma57,57,80,1944
acoma58,58,81,1945
acoma59,59,83,1946
acoma60,60,84,1947
acoma61,61,85,1948
acoma62,62,86,1949
acoma63,63,88,1950
acoma64,64,91,1951
acoma65,65,92,1952
acoma66,66,94,1953
acoma67,67,95,1954
acoma68,68,97,1955
acoma69,69,98,1956
acoma70,70,99,1957
acoma71,71,100,1958
acoma72,72,101,1959
acoma73,73,102,1960
acoma74,74,104,1961
acoma75,75,105,1962
acoma76,76,106,1963
acoma77,77,107,1964
acoma78,78,107,1965
acoma79,79,108,1966
acoma80,80,109,1967
acoma81,81,110,1968
acoma82,82,111,1969